Closing the Achievement Gap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBN,School Name,"Metric City Rating - Weighted Diploma Rate, 4 Year - ELL","Percentage of Enrollment - Weighted Diploma Rate, 4 Year - ELL","Population Percentage of Range - Weighted Diploma Rate, 4 Year - ELL","Metric Value - Weighted Diploma Rate, 4 Year - ELL","Approaching Target For 2015 - Weighted Diploma Rate, 4 Year - ELL","Meeting Target For 2015 - Weighted Diploma Rate, 4 Year - ELL","Exceeding Target For 2015 - Weighted Diploma Rate, 4 Year - ELL","Metric Score - Weighted Diploma Rate, 4 Year - ELL","Metric City Rating - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Percentage of Enrollment - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Population Percentage of Range - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Metric Value - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Approaching Target For 2015 - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Meeting Target For 2015 - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Exceeding Target For 2015 - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Metric Score - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Metric City Rating - Weighted Diploma Rate, 4 Year - Lowest Third City","Percentage of Enrollment - Weighted Diploma Rate, 4 Year - Lowest Third City","Population Percentage of Range - Weighted Diploma Rate, 4 Year - Lowest Third City","Metric Value - Weighted Diploma Rate, 4 Year - Lowest Third City","Approaching Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City","Meeting Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City","Exceeding Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City","Metric Score - Weighted Diploma Rate, 4 Year - Lowest Third City","Metric City Rating - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Percentage of Enrollment - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Population Percentage of Range - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Metric Value - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Approaching Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Meeting Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Exceeding Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Metric Score - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Metric City Rating - Percentage in Lowest Third City, College and Career Prep Course Index","Percentage of Enrollment - Percentage in Lowest Third City, College and Career Prep Course Index","Population Percentage of Range - Percentage in Lowest Third City, College and Career Prep Course Index","Metric Value - Percentage in Lowest Third City, College and Career Prep Course Index","Approaching Target For 2015 - Percentage in Lowest Third City, College and Career Prep Course Index","Meeting Target For 2015 - Percentage in Lowest Third City, College and Career Prep Course Index","Exceeding Target For 2015 - Percentage in Lowest Third City, College and Career Prep Course Index","Metric Score - Percentage in Lowest Third City, College and Career Prep Course Index","Metric City Rating - Percentage in Lowest Third City, 4-year Non-Remediation Index","Percentage of Enrollment - Percentage in Lowest Third City, 4-year Non-Remediation Index","Population Percentage of Range - Percentage in Lowest Third City, 4-year Non-Remediation Index","Metric Value - Percentage in Lowest Third City, 4-year Non-Remediation Index","Approaching Target For 2015 - Percentage in Lowest Third City, 4-year Non-Remediation Index","Meeting Target For 2015 - Percentage in Lowest Third City, 4-year Non-Remediation Index","Exceeding Target For 2015 - Percentage in Lowest Third City, 4-year Non-Remediation Index","Metric Score - Percentage in Lowest Third City, 4-year Non-Remediation Index","Metric City Rating - Percentage in Lowest Third City, PER, 6 Months After High School","Percentage of Enrollment - Percentage in Lowest Third City, PER, 6 Months After High School","Population Percentage of Range - Percentage in Lowest Third City, PER, 6 Months After High School","Metric Value - Percentage in Lowest Third City, PER, 6 Months After High School","Approaching Target For 2015 - Percentage in Lowest Third City, PER, 6 Months After High School","Meeting Target For 2015 - Percentage in Lowest Third City, PER, 6 Months After High School","Exceeding Target For 2015 - Percentage in Lowest Third City, PER, 6 Months After High School","Metric Score - Percentage in Lowest Third City, PER, 6 Months After High School",,,,,,,
02M282,Urban Assembly Maker Academy,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,,,,,,,
02M288,Food and Finance High School,N/A,7.1%,12.7%,271.4%,103.0%,163.9%,225.7%,,Exceeding Target,20.4%,51.8%,320.0%,110.0%,197.0%,285.2%,4.26,Exceeding Target,30.6%,45.9%,191.7%,71.2%,127.5%,184.6%,4.08,Meeting Target,16.3%,41.8%,150.0%,65.3%,116.9%,169.2%,3.63,Meeting Target,30.6%,45.9%,16.7%,7.3%,13.0%,18.9%,3.63,Not Meeting Target,30.6%,45.9%,0.0%,1.4%,2.5%,3.7%,1.00,Exceeding Target,45.1%,74.2%,45.7%,11.4%,20.4%,29.5%,4.99,,,,,,,
02M294,Essex Street Academy,N/A,5.6%,10.1%,560.0%,103.0%,163.9%,225.7%,,Exceeding Target,23.3%,59.1%,411.9%,110.0%,197.0%,285.2%,4.94,Exceeding Target,31.1%,46.7%,323.2%,71.2%,127.5%,184.6%,4.99,Exceeding Target,17.8%,45.6%,412.5%,65.3%,116.9%,169.2%,4.99,Exceeding Target,31.1%,46.7%,39.3%,7.3%,13.0%,18.9%,4.99,Exceeding Target,31.1%,46.7%,39.3%,1.4%,2.5%,3.7%,4.99,Exceeding Target,38.8%,63.8%,35.5%,11.4%,20.4%,29.5%,4.43,,,,,,,
02M296,High School of Hospitality Management,N/A,7.6%,13.6%,225.0%,103.0%,163.9%,225.7%,,Meeting Target,19.0%,48.2%,215.0%,110.0%,197.0%,285.2%,3.20,Meeting Target,33.3%,50.0%,174.3%,71.2%,127.5%,184.6%,3.82,Exceeding Target,13.3%,34.1%,200.0%,65.3%,116.9%,169.2%,4.39,Exceeding Target,33.3%,50.0%,20.0%,7.3%,13.0%,18.9%,4.12,Meeting Target,33.3%,50.0%,2.9%,1.4%,2.5%,3.7%,3.33,Exceeding Target,46.5%,76.5%,34.8%,11.4%,20.4%,29.5%,4.38,,,,,,,
02M298,Pace High School,N/A,6.1%,11.0%,275.0%,103.0%,163.9%,225.7%,,Exceeding Target,12.2%,31.0%,512.5%,110.0%,197.0%,285.2%,4.99,Exceeding Target,24.5%,36.8%,208.3%,71.2%,127.5%,184.6%,4.27,N/A,4.1%,10.5%,,65.3%,116.9%,169.2%,,Not Meeting Target,24.5%,36.8%,4.2%,7.3%,13.0%,18.9%,1.58,Exceeding Target,24.5%,36.8%,4.2%,1.4%,2.5%,3.7%,4.29,N/A,11.6%,19.1%,63.6%,11.4%,20.4%,29.5%,,,,,,,,
02M300,"Urban Assembly School of Design and Construction,",Meeting Target,16.5%,29.6%,211.1%,103.0%,163.9%,225.7%,3.76,Meeting Target,19.3%,49.0%,238.1%,110.0%,197.0%,285.2%,3.47,Approaching Target,37.6%,56.5%,102.4%,71.2%,127.5%,184.6%,2.55,Approaching Target,27.5%,70.5%,106.7%,65.3%,116.9%,169.2%,2.80,Not Meeting Target,37.6%,56.5%,4.9%,7.3%,13.0%,18.9%,1.67,Exceeding Target,37.6%,56.5%,7.3%,1.4%,2.5%,3.7%,4.99,Meeting Target,38.5%,63.3%,21.6%,11.4%,20.4%,29.5%,3.13,,,,,,,
02M303,"Facing History School, The",Meeting Target,26.0%,46.7%,224.0%,103.0%,163.9%,225.7%,3.97,Exceeding Target,26.0%,66.0%,332.0%,110.0%,197.0%,285.2%,4.35,Exceeding Target,51.0%,76.6%,216.3%,71.2%,127.5%,184.6%,4.36,Exceeding Target,33.3%,85.4%,206.3%,65.3%,116.9%,169.2%,4.46,Not Meeting Target,51.0%,76.6%,2.0%,7.3%,13.0%,18.9%,1.27,Exceeding Target,51.0%,76.6%,14.3%,1.4%,2.5%,3.7%,4.99,Meeting Target,42.9%,70.6%,22.2%,11.4%,20.4%,29.5%,3.20,,,,,,,
02M305,"Urban Assembly Academy of Government and Law, The",N/A,6.4%,11.5%,210.0%,103.0%,163.9%,225.7%,,Meeting Target,24.4%,61.9%,252.6%,110.0%,197.0%,285.2%,3.63,Exceeding Target,33.3%,50.0%,205.8%,71.2%,127.5%,184.6%,4.24,N/A,9.0%,23.1%,221.4%,65.3%,116.9%,169.2%,,Approaching Target,33.3%,50.0%,7.7%,7.3%,13.0%,18.9%,2.07,Exceeding Target,33.3%,50.0%,15.4%,1.4%,2.5%,3.7%,4.99,Exceeding Target,23.3%,38.3%,78.6%,11.4%,20.4%,29.5%,4.99,,,,,,,
02M308,Lower Manhattan Arts Academy,N/A,7.0%,12.6%,233.3%,103.0%,163.9%,225.7%,,Approaching Target,33.7%,85.5%,175.9%,110.0%,197.0%,285.2%,2.76,Approaching Target,36.0%,54.1%,106.5%,71.2%,127.5%,184.6%,2.63,Not Meeting Target,14.0%,35.9%,33.3%,65.3%,116.9%,169.2%,1.51,Approaching Target,36.0%,54.1%,9.7%,7.3%,13.0%,18.9%,2.42,Meeting Target,36.0%,54.1%,3.2%,1.4%,2.5%,3.7%,3.58,Exceeding Target,40.0%,65.8%,46.2%,11.4%,20.4%,29.5%,4.99,,,,,,,
02M316,"Urban Assembly School of Business for Young Women,",N/A,6.6%,11.8%,120.0%,103.0%,163.9%,225.7%,,Exceeding Target,19.7%,50.0%,313.3%,110.0%,197.0%,285.2%,4.21,Exceeding Target,27.6%,41.4%,219.0%,71.2%,127.5%,184.6%,4.39,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,Not Meeting Target,27.6%,41.4%,4.8%,7.3%,13.0%,18.9%,1.66,Exceeding Target,27.6%,41.4%,4.8%,1.4%,2.5%,3.7%,4.65,Exceeding Target,36.0%,59.2%,38.9%,11.4%,20.4%,29.5%,4.68,,,,,,,
02M374,Gramercy Arts High School,N/A,2.7%,4.8%,,103.0%,163.9%,225.7%,,Exceeding Target,13.3%,33.8%,360.0%,110.0%,197.0%,285.2%,4.55,Exceeding Target,22.1%,33.2%,248.0%,71.2%,127.5%,184.6%,4.73,N/A,8.0%,20.5%,227.8%,65.3%,116.9%,169.2%,,Approaching Target,22.1%,33.2%,8.0%,7.3%,13.0%,18.9%,2.12,Not Meeting Target,22.1%,33.2%,0.0%,1.4%,2.5%,3.7%,1.00,Approaching Target,31.5%,51.8%,17.5%,11.4%,20.4%,29.5%,2.68,,,,,,,
02M376,NYC iSchool,N/A,2.0%,3.6%,,103.0%,163.9%,225.7%,,Exceeding Target,10.0%,25.4%,500.0%,110.0%,197.0%,285.2%,4.99,N/A,2.0%,3.0%,,71.2%,127.5%,184.6%,,N/A,1.0%,2.6%,,65.3%,116.9%,169.2%,,N/A,2.0%,3.0%,,7.3%,13.0%,18.9%,,N/A,2.0%,3.0%,,1.4%,2.5%,3.7%,,N/A,6.1%,10.0%,50.0%,11.4%,20.4%,29.5%,,,,,,,,
02M392,MANHATTAN BUSINESS ACADEMY,N/A,13.1%,23.5%,330.8%,103.0%,163.9%,225.7%,,Exceeding Target,13.1%,33.2%,350.0%,110.0%,197.0%,285.2%,4.48,Exceeding Target,35.4%,53.2%,284.3%,71.2%,127.5%,184.6%,4.99,Exceeding Target,26.3%,67.4%,286.5%,65.3%,116.9%,169.2%,4.99,Exceeding Target,35.4%,53.2%,51.4%,7.3%,13.0%,18.9%,4.99,Exceeding Target,35.4%,53.2%,37.1%,1.4%,2.5%,3.7%,4.99,Exceeding Target,32.0%,52.6%,37.5%,11.4%,20.4%,29.5%,4.58,,,,,,,
02M393,BUSINESS OF SPORTS SCHOOL,N/A,9.1%,16.3%,192.9%,103.0%,163.9%,225.7%,,Exceeding Target,29.9%,75.9%,317.4%,110.0%,197.0%,285.2%,4.24,Meeting Target,41.6%,62.5%,157.8%,71.2%,127.5%,184.6%,3.53,Exceeding Target,33.8%,86.7%,175.0%,65.3%,116.9%,169.2%,4.07,Exceeding Target,41.6%,62.5%,59.4%,7.3%,13.0%,18.9%,4.99,Exceeding Target,41.6%,62.5%,6.3%,1.4%,2.5%,3.7%,4.99,Exceeding Target,46.0%,75.7%,39.1%,11.4%,20.4%,29.5%,4.69,,,,,,,
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,Meeting Target,27.4%,49.2%,184.8%,103.0%,163.9%,225.7%,3.34,Meeting Target,25.0%,63.5%,252.4%,110.0%,197.0%,285.2%,3.63,Meeting Target,40.5%,60.8%,173.5%,71.2%,127.5%,184.6%,3.81,Meeting Target,20.2%,51.8%,141.2%,65.3%,116.9%,169.2%,3.46,Not Meeting Target,40.5%,60.8%,0.0%,7.3%,13.0%,18.9%,1.00,Not Meeting Target,40.5%,60.8%,0.0%,1.4%,2.5%,3.7%,1.00,Approaching Target,35.1%,57.7%,15.0%,11.4%,20.4%,29.5%,2.40,,,,,,,
02M400,High School for Environmental Studies,N/A,13.1%,23.5%,225.6%,103.0%,163.9%,225.7%,,Exceeding Target,17.4%,44.2%,307.9%,110.0%,197.0%,285.2%,4.17,Meeting Target,25.1%,37.7%,165.9%,71.2%,127.5%,184.6%,3.67,Meeting Target,14.1%,36.2%,163.0%,65.3%,116.9%,169.2%,3.88,Not Meeting Target,25.1%,37.7%,3.7%,7.3%,13.0%,18.9%,1.51,Exceeding Target,25.1%,37.7%,3.7%,1.4%,2.5%,3.7%,4.00,Meeting Target,22.6%,37.2%,28.6%,11.4%,20.4%,29.5%,3.90,,,,,,,
02M407,Institute for Collaborative Education,N/A,1.4%,2.5%,,103.0%,163.9%,225.7%,,Meeting Target,12.9%,32.7%,266.7%,110.0%,197.0%,285.2%,3.79,N/A,11.4%,17.1%,150.0%,71.2%,127.5%,184.6%,,Exceeding Target,10.0%,25.6%,171.4%,65.3%,116.9%,169.2%,4.03,N/A,11.4%,17.1%,12.5%,7.3%,13.0%,18.9%,,N/A,11.4%,17.1%,0.0%,1.4%,2.5%,3.7%,,Exceeding Target,21.1%,34.7%,56.3%,11.4%,20.4%,29.5%,4.99,,,,,,,
02M408,Professional Performing Arts High School,N/A,2.1%,3.8%,,103.0%,163.9%,225.7%,,N/A,6.2%,15.7%,425.0%,110.0%,197.0%,285.2%,,N/A,4.1%,6.2%,,71.2%,127.5%,184.6%,,N/A,1.0%,2.6%,,65.3%,116.9%,169.2%,,N/A,4.1%,6.2%,,7.3%,13.0%,18.9%,,N/A,4.1%,6.2%,,1.4%,2.5%,3.7%,,N/A,2.1%,3.5%,,11.4%,20.4%,29.5%,,,,,,,,
02M411,Baruch College Campus High School,N/A,2.9%,5.2%,,103.0%,163.9%,225.7%,,N/A,2.9%,7.4%,,110.0%,197.0%,285.2%,,N/A,1.0%,1.5%,,71.2%,127.5%,184.6%,,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,N/A,1.0%,1.5%,,7.3%,13.0%,18.9%,,N/A,1.0%,1.5%,,1.4%,2.5%,3.7%,,N/A,0.0%,0.0%,,11.4%,20.4%,29.5%,,,,,,,,
02M412,N.Y.C. Lab School for Collaborative Studies,N/A,1.8%,3.2%,,103.0%,163.9%,225.7%,,Exceeding Target,14.1%,35.8%,571.7%,110.0%,197.0%,285.2%,4.99,N/A,4.3%,6.5%,292.9%,71.2%,127.5%,184.6%,,N/A,3.1%,7.9%,250.0%,65.3%,116.9%,169.2%,,N/A,4.3%,6.5%,14.3%,7.3%,13.0%,18.9%,,N/A,4.3%,6.5%,28.6%,1.4%,2.5%,3.7%,,N/A,3.2%,5.3%,,11.4%,20.4%,29.5%,,,,,,,,
02M413,School of the Future High School,N/A,2.2%,3.9%,,103.0%,163.9%,225.7%,,N/A,7.9%,20.1%,342.9%,110.0%,197.0%,285.2%,,N/A,0.0%,0.0%,,71.2%,127.5%,184.6%,,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,N/A,0.0%,0.0%,,7.3%,13.0%,18.9%,,N/A,0.0%,0.0%,,1.4%,2.5%,3.7%,,N/A,7.8%,12.8%,71.4%,11.4%,20.4%,29.5%,,,,,,,,
02M414,N.Y.C. Museum School,N/A,0.0%,0.0%,,103.0%,163.9%,225.7%,,N/A,4.5%,11.4%,540.0%,110.0%,197.0%,285.2%,,N/A,0.0%,0.0%,,71.2%,127.5%,184.6%,,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,N/A,0.0%,0.0%,,7.3%,13.0%,18.9%,,N/A,0.0%,0.0%,,1.4%,2.5%,3.7%,,N/A,5.1%,8.4%,60.0%,11.4%,20.4%,29.5%,,,,,,,,
02M416,Eleanor Roosevelt High School,N/A,2.3%,4.1%,,103.0%,163.9%,225.7%,,N/A,0.8%,2.0%,,110.0%,197.0%,285.2%,,N/A,0.0%,0.0%,,71.2%,127.5%,184.6%,,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,N/A,0.0%,0.0%,,7.3%,13.0%,18.9%,,N/A,0.0%,0.0%,,1.4%,2.5%,3.7%,,N/A,0.0%,0.0%,,11.4%,20.4%,29.5%,,,,,,,,
02M418,Millennium High School,N/A,0.7%,1.3%,,103.0%,163.9%,225.7%,,Exceeding Target,10.6%,26.9%,584.4%,110.0%,197.0%,285.2%,4.99,N/A,0.0%,0.0%,,71.2%,127.5%,184.6%,,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,N/A,0.0%,0.0%,,7.3%,13.0%,18.9%,,N/A,0.0%,0.0%,,1.4%,2.5%,3.7%,,N/A,2.0%,3.3%,,11.4%,20.4%,29.5%,,,,,,,,
