Additional Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBN,School Name,Average Score Regents Algebra,Percentage Passing Regents Algebra,Percentage at college ready threshold Regents Algebra,Average Score Regents Geometry,Percentage Passing Regents Geometry,Percentage at college ready threshold Regents Geometry,Average Score Regents Algebra 2/Trig,Percentage Passing Regents Algebra 2/Trig,Percentage at college ready threshold Regents Algebra 2/Trig,Average Score Regents English,Percentage Passing Regents English,Percentage at college ready threshold Regents English,Average Score Regents US History,Percentage Passing Regents US History,Average Score Regents Global History,Percentage Passing Regents Global History,Average Score Regents Chemistry,Percentage Passing Regents Chemistry,Average Score Regents Physics,Percentage Passing Regents Physics,Average Score Regents Earth Science,Percentage Passing Regents Earth Science,Average Score Regents Living Environment,Percentage Passing Regents Living Environment,Average Score Regents Languages Other Than English,Percentage Passing Regents Languages Other Than English,Average Score SAT Math,Percentage of 4-year Cohort Taking SAT Math,Percentage College Ready SAT Math,Average Score SAT Critical Reading,Percentage of 4-year Cohort Taking SAT Critical Reading,Percentage College Ready SAT Critical Reading,Average Score SAT Writing,Percentage of 4-year Cohort Taking SAT Writing,Average Score ACT Math,Percentage of 4-year Cohort Taking ACT Math,Percentage College Ready ACT Math,Average Score ACT English,Percentage of 4-year Cohort Taking ACT English,Percentage College Ready ACT English,Average Score ACT Reading,Percentage of 4-year Cohort Taking ACT Reading,Average Score ACT Science,Percentage of 4-year Cohort Taking ACT Science,Average Score CUNY Math 1,Percentage of 4-year Cohort Taking CUNY Math 1,Average Score CUNY Math 2,Percentage of 4-year Cohort Taking CUNY Math 2,Percentage College Ready CUNY Math 2,Average Score CUNY Reading,Percentage of 4-year Cohort Taking CUNY Reading,Percentage College Ready CUNY Reading,Average Score CUNY Writing,Percentage of 4-year Cohort Taking CUNY Writing,Percentage College Ready CUNY Writing,Post-secondary Enrollment Rate (6 months),Post-secondary Enrollment Rate (18 months),CUNY 2-Year (6 months),CUNY 2-Year (18 months),CUNY 4-Year (6 months),CUNY 4-Year (18 months),NYS Public (6 months),NYS Public (18 months),NYS Private (6 months),NYS Private (18 months),Out of State (6 months),Out of State (18 months),Public Service (6 months),Public Service (18 months),Vocational Program (6 months),Vocational Program (18 months),CRI (Percentage of 4 year Cohort),CRI (Percentage of 6 year Cohort),Percentage Attaining Regents Diploma (4 year),Percentage Attaining Regents Diploma (6 year),Percentage Attaining Math College Readiness Standard,Percentage Attaining Math College Readiness Standard (6 year),Percentage Attaining English College Readiness Standard,Percentage Attaining English College Readiness Standard (6 year),College and Career Preparatory Course Index,"Percentage Scoring 65+ on Alg2, MathB, Chem, or Phys Regents Exam",Percentage Scoring 3+ on any AP Exam,Percentage Scoring 4+ on any IB Exam,Percentage Earning a Diploma with a CTE Endorsement,Percentage Passing an Industry-Recognized Technical Assessment,Percentage Earning a Diploma with an Arts Endorsement,Percentage Earning a Grade of 'C' or Higher for College Credit,Percentage Passing a CPCC Course
02M282,Urban Assembly Maker Academy,70,76.9%,18.5%,77,100.0%,16.7%,,,,,,,73,75.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02M288,Food and Finance High School,63,57.5%,3.4%,56,25.2%,0.0%,44,12.5%,0.0%,72,83.5%,46.1%,75,82.9%,66,67.1%,,,,,56,25.3%,65,53.0%,,,428,52.0%,100.0%,435,52.0%,100.0%,421,52.0%,,0.0%,0.0%,,0.0%,0.0%,,0.0%,,0.0%,44,18.4%,29,22.4%,100.0%,,11.2%,100.0%,,11.2%,100.0%,58.8%,54.9%,16.7%,19.5%,10.8%,12.2%,16.7%,7.3%,8.8%,6.1%,3.9%,9.8%,0.0%,0.0%,0.0%,0.0%,14.3%,9.8%,69.4%,81.7%,18.4%,9.8%,51.0%,68.3%,42.9%,0.0%,6.1%,0.0%,13.3%,40.8%,0.0%,15.3%,0.0%
02M294,Essex Street Academy,,,,,,,,,,70,69.0%,41.7%,,,,,,,,,,,,,,,395,78.9%,100.0%,411,78.9%,100.0%,387,78.9%,,2.2%,0.0%,,2.2%,0.0%,,2.2%,,2.2%,33,25.6%,26,28.9%,100.0%,71,20.0%,100.0%,52,20.0%,100.0%,61.3%,60.0%,20.0%,13.8%,6.3%,12.5%,26.3%,18.8%,6.3%,7.5%,1.3%,3.8%,0.0%,1.3%,0.0%,1.3%,60.0%,26.3%,80.0%,70.0%,68.9%,26.3%,57.8%,57.5%,66.7%,0.0%,11.1%,0.0%,0.0%,0.0%,0.0%,10.0%,60.0%
02M296,High School of Hospitality Management,67,73.7%,4.5%,64,56.7%,6.7%,43,12.1%,6.1%,74,83.2%,62.8%,72,79.0%,72,81.2%,55,15.1%,,,57,18.2%,72,86.5%,96,100.0%,451,56.2%,100.0%,433,56.2%,100.0%,424,56.2%,,4.8%,100.0%,,4.8%,100.0%,,3.8%,,4.8%,35,18.1%,39,32.4%,100.0%,70,16.2%,100.0%,54,17.1%,100.0%,55.6%,58.4%,17.2%,20.8%,19.2%,6.5%,9.1%,10.4%,0.0%,10.4%,3.0%,3.9%,0.0%,1.3%,0.0%,0.0%,36.2%,5.2%,70.5%,67.5%,40.0%,6.5%,56.2%,27.3%,45.7%,14.3%,4.8%,0.0%,0.0%,0.0%,0.0%,42.9%,0.0%
02M298,Pace High School,67,72.9%,8.8%,63,49.7%,7.8%,59,39.6%,5.7%,82,95.1%,82.1%,87,95.6%,72,75.0%,64,50.0%,,,64,51.1%,77,83.7%,,,430,87.8%,100.0%,435,87.8%,100.0%,427,87.8%,17,63.3%,100.0%,16,63.3%,100.0%,15,36.7%,17,63.3%,37,36.7%,28,41.8%,100.0%,71,19.4%,100.0%,54,19.4%,100.0%,75.8%,81.6%,18.9%,24.5%,12.6%,20.4%,12.6%,3.1%,20.0%,25.5%,10.5%,7.1%,0.0%,0.0%,0.0%,0.0%,26.5%,37.8%,87.8%,93.9%,29.6%,37.8%,75.5%,82.7%,40.8%,23.5%,9.2%,0.0%,0.0%,1.0%,0.0%,29.6%,0.0%
02M300,"Urban Assembly School of Design and Construction,",64,58.0%,3.5%,66,58.3%,13.0%,53,28.6%,7.1%,75,84.6%,53.8%,67,64.4%,61,40.0%,63,40.0%,,,,,64,55.1%,,,445,60.6%,100.0%,417,60.6%,100.0%,403,60.6%,,1.8%,0.0%,,1.8%,0.0%,,0.9%,,1.8%,36,17.4%,36,26.6%,100.0%,70,13.8%,100.0%,54,14.7%,100.0%,53.1%,62.5%,10.4%,17.5%,21.9%,17.5%,5.2%,15.0%,7.3%,8.8%,6.3%,3.8%,0.0%,0.0%,0.0%,0.0%,34.9%,30.0%,61.5%,73.8%,38.5%,30.0%,63.3%,63.8%,27.5%,17.4%,14.7%,0.0%,0.0%,0.9%,0.0%,6.4%,0.0%
02M303,"Facing History School, The",,,,,,,,,,64,62.7%,31.1%,,,,,,,,,,,,,,,366,57.3%,100.0%,356,57.3%,100.0%,371,57.3%,,5.2%,100.0%,,5.2%,100.0%,,4.2%,,5.2%,,3.1%,,3.1%,0.0%,,3.1%,100.0%,,3.1%,100.0%,38.1%,59.4%,14.3%,21.8%,5.7%,12.9%,10.5%,9.9%,3.8%,5.0%,1.0%,5.9%,0.0%,0.0%,0.0%,0.0%,22.9%,34.7%,65.6%,65.3%,53.1%,52.5%,32.3%,39.6%,2.1%,0.0%,2.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
02M305,"Urban Assembly Academy of Government and Law, The",64,48.6%,4.8%,78,96.2%,34.6%,49,9.1%,4.5%,74,86.1%,51.9%,76,84.0%,65,62.5%,61,26.9%,,,,,66,59.2%,,,389,80.8%,100.0%,395,80.8%,100.0%,381,80.8%,,3.8%,100.0%,,3.8%,100.0%,,3.8%,,3.8%,37,50.0%,32,60.3%,100.0%,69,37.2%,100.0%,56,37.2%,100.0%,78.3%,72.0%,26.7%,18.7%,20.0%,10.7%,21.7%,18.7%,3.3%,10.7%,6.7%,8.0%,0.0%,0.0%,0.0%,0.0%,24.4%,21.3%,74.4%,81.3%,29.5%,18.7%,57.7%,62.7%,25.6%,11.5%,14.1%,0.0%,0.0%,0.0%,0.0%,6.4%,0.0%
02M308,Lower Manhattan Arts Academy,66,67.7%,5.5%,60,36.4%,6.8%,44,12.5%,5.0%,77,90.5%,64.3%,79,81.6%,66,60.2%,64,40.9%,,,70,71.4%,73,77.8%,,,418,65.1%,100.0%,428,65.1%,100.0%,415,65.1%,,12.8%,100.0%,,12.8%,100.0%,,12.8%,,12.8%,28,25.6%,23,26.7%,100.0%,,14.0%,100.0%,,14.0%,100.0%,64.6%,73.0%,16.9%,16.2%,13.8%,18.9%,18.5%,18.9%,6.2%,9.5%,7.7%,6.8%,0.0%,0.0%,0.0%,0.0%,19.8%,31.1%,57.0%,74.3%,23.3%,31.1%,57.0%,63.5%,24.4%,20.9%,0.0%,0.0%,0.0%,0.0%,0.0%,12.8%,0.0%
02M316,"Urban Assembly School of Business for Young Women,",57,27.3%,0.7%,58,39.1%,4.6%,29,0.0%,0.0%,73,82.1%,49.6%,68,65.0%,54,26.9%,53,20.5%,,,52,25.6%,63,48.2%,81,89.5%,418,75.0%,100.0%,420,75.0%,100.0%,417,75.0%,,5.3%,0.0%,,5.3%,100.0%,,3.9%,,5.3%,,17.1%,28,21.1%,100.0%,,7.9%,100.0%,,7.9%,100.0%,60.0%,74.1%,12.0%,24.7%,13.0%,6.2%,16.0%,13.6%,13.0%,14.8%,6.0%,11.1%,0.0%,0.0%,0.0%,0.0%,31.6%,23.5%,69.7%,70.4%,35.5%,24.7%,68.4%,66.7%,43.4%,40.8%,0.0%,0.0%,0.0%,0.0%,0.0%,5.3%,0.0%
02M374,Gramercy Arts High School,65,57.9%,6.1%,63,47.2%,5.6%,46,6.4%,0.0%,73,81.7%,53.3%,71,66.7%,65,52.9%,68,69.8%,,,59,37.3%,69,67.1%,,,446,79.6%,100.0%,459,79.6%,100.0%,455,79.6%,18,13.3%,100.0%,17,13.3%,100.0%,,9.7%,18,13.3%,41,21.2%,31,24.8%,100.0%,,10.6%,100.0%,,10.6%,100.0%,43.3%,65.2%,10.2%,20.5%,7.9%,15.2%,11.8%,16.1%,7.1%,8.9%,6.3%,4.5%,0.0%,0.0%,0.0%,0.0%,31.9%,22.3%,86.7%,77.7%,33.6%,21.4%,74.3%,63.4%,37.2%,27.4%,0.9%,0.0%,0.0%,0.0%,19.5%,0.0%,0.0%
02M376,NYC iSchool,70,96.8%,4.3%,,,,,,,86,99.3%,89.0%,85,95.6%,79,93.2%,,,,,,,77,87.5%,,,518,96.0%,100.0%,515,96.0%,100.0%,503,96.0%,23,29.0%,100.0%,22,29.0%,100.0%,22,20.0%,22,29.0%,,6.0%,,13.0%,100.0%,,3.0%,100.0%,,4.0%,100.0%,80.6%,82.8%,7.1%,5.1%,22.4%,30.3%,11.2%,12.1%,18.4%,17.2%,21.4%,17.2%,0.0%,0.0%,0.0%,0.0%,75.0%,82.8%,99.0%,96.0%,77.0%,85.9%,97.0%,89.9%,47.0%,16.0%,41.0%,0.0%,0.0%,0.0%,0.0%,8.0%,0.0%
02M392,MANHATTAN BUSINESS ACADEMY,62,46.6%,0.7%,60,37.1%,8.6%,46,11.5%,0.0%,76,88.9%,64.6%,84,92.2%,69,68.2%,69,61.1%,,,56,29.5%,75,84.1%,94,100.0%,410,69.7%,100.0%,407,69.7%,100.0%,399,69.7%,,2.0%,0.0%,,2.0%,0.0%,,1.0%,,2.0%,31,31.3%,25,34.3%,100.0%,73,23.2%,100.0%,54,24.2%,100.0%,62.7%,71.6%,16.0%,20.5%,5.3%,14.8%,17.3%,13.6%,8.0%,10.2%,13.3%,12.5%,0.0%,0.0%,0.0%,0.0%,39.4%,22.7%,77.8%,76.1%,15.2%,22.7%,61.6%,61.4%,47.5%,3.0%,1.0%,0.0%,7.1%,7.1%,0.0%,23.2%,0.0%
02M393,BUSINESS OF SPORTS SCHOOL,63,47.0%,4.6%,56,26.3%,3.8%,,,,70,77.9%,41.8%,68,61.9%,60,42.4%,,,,,61,34.5%,65,56.6%,91,100.0%,395,67.5%,100.0%,386,67.5%,100.0%,371,67.5%,,16.9%,100.0%,,16.9%,100.0%,,16.9%,,16.9%,38,36.4%,27,39.0%,100.0%,70,37.7%,100.0%,53,39.0%,100.0%,51.0%,62.2%,14.0%,20.7%,4.0%,3.7%,12.0%,14.6%,16.0%,9.8%,4.0%,12.2%,0.0%,0.0%,0.0%,0.0%,23.4%,22.0%,57.1%,67.1%,23.4%,23.2%,45.5%,73.2%,75.3%,1.3%,3.9%,0.0%,19.5%,74.0%,0.0%,3.9%,0.0%
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,69,75.7%,10.4%,69,61.4%,25.7%,49,17.6%,8.8%,71,80.8%,44.4%,68,70.0%,65,60.6%,60,29.2%,,,64,49.5%,72,76.9%,82,83.3%,446,70.2%,100.0%,433,70.2%,100.0%,411,70.2%,,7.1%,100.0%,,7.1%,100.0%,,7.1%,,7.1%,38,27.4%,25,31.0%,100.0%,,14.3%,100.0%,,14.3%,100.0%,45.6%,61.0%,8.8%,14.6%,10.5%,22.0%,10.5%,12.2%,3.5%,9.8%,12.3%,2.4%,0.0%,0.0%,0.0%,0.0%,26.2%,34.1%,66.7%,72.0%,28.6%,42.7%,60.7%,59.8%,19.0%,9.5%,7.1%,0.0%,0.0%,0.0%,0.0%,14.3%,0.0%
02M400,High School for Environmental Studies,63,49.7%,3.7%,66,54.7%,18.6%,64,51.1%,24.4%,73,80.0%,56.1%,79,83.5%,67,56.5%,66,53.4%,71,71.7%,64,47.3%,71,68.7%,88,94.3%,469,74.0%,100.0%,454,74.0%,100.0%,444,74.0%,22,15.9%,100.0%,20,15.9%,100.0%,22,15.6%,21,15.9%,38,23.5%,29,28.4%,100.0%,72,18.0%,100.0%,52,18.0%,100.0%,73.2%,78.8%,17.1%,15.8%,17.6%,21.9%,12.6%,13.2%,12.6%,13.2%,12.4%,13.8%,0.0%,0.0%,0.3%,0.3%,42.2%,50.8%,73.7%,83.9%,46.2%,52.4%,68.2%,73.3%,45.0%,35.2%,27.8%,0.0%,0.0%,0.0%,0.0%,17.1%,0.3%
02M407,Institute for Collaborative Education,,,,,,,,,,83,97.6%,77.1%,,,,,,,,,,,,,,,501,78.6%,100.0%,550,78.6%,100.0%,541,78.6%,20,27.1%,100.0%,23,27.1%,100.0%,,14.3%,21,27.1%,,0.0%,,0.0%,0.0%,,0.0%,0.0%,,0.0%,0.0%,67.1%,91.3%,7.9%,15.9%,7.9%,7.2%,19.7%,23.2%,13.2%,15.9%,17.1%,27.5%,0.0%,0.0%,0.0%,0.0%,42.9%,73.9%,91.4%,98.6%,42.9%,94.2%,75.7%,76.8%,31.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,31.4%,0.0%
02M408,Professional Performing Arts High School,69,75.6%,11.4%,70,70.4%,19.8%,69,62.2%,24.4%,82,98.3%,78.4%,83,96.5%,77,86.7%,,,,,71,69.7%,75,90.7%,,,496,72.2%,100.0%,520,72.2%,100.0%,516,72.2%,21,29.9%,100.0%,23,29.9%,100.0%,23,21.6%,22,29.9%,,6.2%,,9.3%,100.0%,,3.1%,100.0%,,3.1%,100.0%,59.6%,72.7%,6.4%,7.3%,4.3%,8.2%,5.3%,10.0%,19.1%,20.0%,21.3%,26.4%,0.0%,0.0%,0.0%,0.0%,48.5%,44.5%,93.8%,92.7%,51.5%,49.1%,80.4%,87.3%,99.0%,18.6%,18.6%,0.0%,0.0%,0.0%,97.9%,13.4%,0.0%
02M411,Baruch College Campus High School,77,93.6%,29.8%,81,92.7%,67.0%,75,75.2%,44.2%,85,97.3%,89.3%,89,97.3%,87,99.1%,75,83.6%,,,86,96.7%,86,96.7%,91,100.0%,592,94.3%,100.0%,526,94.3%,100.0%,531,94.3%,26,27.6%,100.0%,23,27.6%,100.0%,24,21.9%,23,27.6%,,3.8%,74,42.9%,100.0%,,3.8%,100.0%,,3.8%,100.0%,90.7%,99.1%,2.8%,3.5%,36.4%,45.2%,26.2%,24.3%,13.1%,16.5%,10.3%,8.7%,0.0%,0.0%,0.0%,0.0%,98.1%,87.0%,100.0%,100.0%,98.1%,88.7%,100.0%,98.3%,100.0%,66.7%,46.7%,0.0%,0.0%,0.0%,0.0%,59.0%,55.2%
02M412,N.Y.C. Lab School for Collaborative Studies,77,98.8%,32.1%,83,99.4%,64.3%,77,84.0%,49.1%,,,,93,97.7%,82,92.0%,68,55.7%,80,88.7%,75,81.8%,85,98.5%,90,100.0%,595,79.8%,100.0%,550,79.8%,100.0%,555,79.8%,25,41.1%,100.0%,23,41.1%,100.0%,23,31.3%,23,41.1%,,4.3%,,5.5%,100.0%,,5.5%,100.0%,,5.5%,100.0%,81.0%,93.0%,1.6%,5.4%,21.4%,10.9%,21.4%,20.2%,10.3%,19.4%,26.2%,36.4%,0.0%,0.0%,0.0%,0.0%,82.8%,82.2%,95.7%,93.0%,87.7%,85.3%,91.4%,89.9%,71.8%,69.9%,42.9%,0.0%,0.0%,0.0%,0.0%,7.4%,0.0%
02M413,School of the Future High School,,,,,,,,,,83,95.9%,85.6%,,,,,,,,,,,,,,,534,89.9%,100.0%,533,89.9%,100.0%,522,89.9%,22,16.9%,100.0%,22,16.9%,100.0%,,11.2%,22,16.9%,,6.7%,,7.9%,100.0%,,7.9%,100.0%,,7.9%,100.0%,72.2%,90.1%,12.2%,15.4%,14.4%,22.0%,16.7%,13.2%,15.6%,23.1%,12.2%,14.3%,0.0%,1.1%,0.0%,0.0%,89.9%,50.5%,96.6%,95.6%,96.6%,57.1%,92.1%,81.3%,98.9%,0.0%,27.0%,0.0%,0.0%,0.0%,0.0%,34.8%,98.9%
02M414,N.Y.C. Museum School,70,83.1%,12.4%,76,91.8%,32.1%,66,59.6%,21.9%,87,98.5%,96.9%,90,98.4%,89,98.3%,65,53.1%,,,83,96.2%,83,98.1%,87,93.3%,560,90.0%,100.0%,530,90.0%,100.0%,522,90.0%,24,18.2%,100.0%,22,18.2%,100.0%,24,17.3%,23,18.2%,,3.6%,,5.5%,100.0%,,3.6%,100.0%,,3.6%,100.0%,82.8%,90.4%,5.1%,16.0%,35.4%,30.4%,15.2%,17.6%,17.2%,18.4%,9.1%,7.2%,0.0%,0.0%,0.0%,0.0%,91.8%,59.2%,100.0%,96.8%,91.8%,60.0%,98.2%,88.8%,72.7%,67.3%,48.2%,0.0%,0.0%,0.9%,0.0%,23.6%,0.0%
